Testing v8 version different from logging version
Statistical profiling result from isolate-0x7867bc665040-1-v8.log, (37088 ticks, 96 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: *_destroy node:_http_incoming:221:55
      1    0.0%    0.0%  JS: *Writable.cork node:internal/streams/writable:505:35
      1    0.0%    0.0%  JS: *Socket.destroySoon node:net:783:40
      1    0.0%    0.0%  JS: *Socket._destroy node:net:794:37
      1    0.0%    0.0%  JS: *ClientRequest node:_http_client:130:23
      1    0.0%    0.0%  JS: *<anonymous> node:internal/validators:453:42
      1    0.0%    0.0%  JS: *<anonymous> /app/node_modules/http-proxy/lib/http-proxy/passes/web-outgoing.js:119:51
      1    0.0%    0.0%  JS: *<anonymous> /app/node_modules/http-proxy/lib/http-proxy/passes/web-incoming.js:172:37
      1    0.0%    0.0%  Builtin: TypedArrayPrototypeToStringTag
      1    0.0%    0.0%  Builtin: ToNumber_Baseline
      1    0.0%    0.0%  Builtin: StringPrototypeSlice
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: StringAddConvertRight
      1    0.0%    0.0%  Builtin: StoreIC_NoFeedback
      1    0.0%    0.0%  Builtin: StoreFastElementIC_GrowNoTransitionHandleCOW
      1    0.0%    0.0%  Builtin: RunMicrotasks
      1    0.0%    0.0%  Builtin: ObjectIs
      1    0.0%    0.0%  Builtin: ObjectEntries
      1    0.0%    0.0%  Builtin: MultiplySmi_Baseline
      1    0.0%    0.0%  Builtin: LoadIC_StringLength
      1    0.0%    0.0%  Builtin: KeyedLoadICTrampoline
      1    0.0%    0.0%  Builtin: KeyedLoadICBaseline
      1    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
